,0,1,2
708,1003,4,0
709,1003,4,0
710,1003,4,0
711,1003,4,0
712,1003,4,0
713,1003,4,0
714,1003,4,0
715,1003,4,0
716,1003,4,0
717,1003,4,0
718,1003,4,0
719,1003,4,0
720,1003,4,0
721,1003,4,0
722,1003,4,0
723,1003,4,0
724,1003,4,0
725,1003,4,0
726,1003,4,0
727,1003,4,0
728,1003,4,0
729,1003,4,0
730,1003,4,0
731,1003,4,0
732,1003,4,0
733,1003,4,0
734,1003,4,0
735,1003,4,0
736,1003,4,0
737,1003,4,1
738,1003,4,1
739,1003,4,1
740,1003,4,1
741,1003,4,1
742,1003,4,1
743,1003,4,1
744,1003,4,1
745,1003,4,1
746,1003,4,1
747,1003,4,1
748,1003,4,1
749,1003,4,1
750,1003,4,1
751,1003,4,1
752,1003,4,1
753,1003,4,1
754,1003,4,1
755,1003,4,1
756,1003,4,1
757,1003,4,1
758,1003,4,1
759,1003,4,1
760,1003,4,1
761,1003,4,1
762,1003,4,1
763,1003,4,1
764,1003,4,1
765,1003,4,1
766,1003,4,1
767,1003,4,2
768,1003,4,2
769,1003,4,2
770,1003,4,2
771,1003,4,2
772,1003,4,2
773,1003,4,2
774,1003,4,2
775,1003,4,2
776,1003,4,2
777,1003,4,2
778,1003,4,2
779,1003,4,2
780,1003,4,2
781,1003,4,2
782,1003,4,2
783,1003,4,2
784,1003,4,2
785,1003,4,2
786,1003,4,2
787,1003,4,2
788,1003,4,2
789,1003,4,2
790,1003,4,2
791,1003,4,2
792,1003,4,2
793,1003,4,2
794,1003,4,2
795,1003,4,2
796,1003,4,2
797,1003,4,3
798,1003,4,3
799,1003,4,3
800,1003,4,3
801,1003,4,3
802,1003,4,3
803,1003,4,3
804,1003,5,0
805,1003,5,0
806,1003,5,0
807,1003,5,0
808,1003,5,0
809,1003,5,0
810,1003,5,0
811,1003,5,0
812,1003,5,0
813,1003,5,0
814,1003,5,0
815,1003,5,0
816,1003,5,0
817,1003,5,0
818,1003,5,0
819,1003,5,0
820,1003,5,0
821,1003,5,0
822,1003,5,0
823,1003,5,0
824,1003,5,0
825,1003,5,0
826,1003,5,0
827,1003,5,0
828,1003,5,0
829,1003,5,0
830,1003,5,0
831,1003,5,0
832,1003,5,0
833,1003,5,0
834,1003,5,1
835,1003,5,1
836,1003,5,1
837,1003,5,1
838,1003,5,1
839,1003,5,1
840,1003,5,1
841,1003,5,1
842,1003,5,1
843,1003,5,1
844,1003,5,1
845,1003,5,1
846,1003,5,1
847,1003,5,1
848,1003,5,1
849,1003,5,1
850,1003,5,1
851,1003,5,1
852,1003,5,1
853,1003,5,1
854,1003,5,1
855,1003,5,1
856,1003,5,1
857,1003,5,1
858,1003,5,1
859,1003,5,1
860,1003,5,1
861,1003,5,1
862,1003,5,1
863,1003,5,1
864,1003,5,2
865,1003,5,2
866,1003,5,2
867,1003,5,2
868,1003,5,2
869,1003,5,2
870,1003,5,2
871,1003,5,2
872,1003,5,2
873,1003,5,2
874,1003,5,2
875,1003,5,2
876,1003,5,2
877,1003,5,2
878,1003,5,2
879,1003,5,2
880,1003,5,2
881,1003,5,2
882,1003,5,2
883,1003,5,2
884,1003,5,2
885,1003,5,2
