ID,Session,WindowLength,Shrinkage,Kernel,nClusters,SilhouetteCoefficient,CalinskiHarabaszScore,RiemannianVariance,DaviesBouldinIndex,GeodesicDistanceRatio,RandScoreActivities,RandScoreSessions,RandScoreIds,nActivities
all,all,15,0.0,corr,7,,6267.4204,"[np.float64(24.122621034003576), np.float64(19.413966523850906), np.float64(19.470417893567067), np.float64(21.88180209312529), np.float64(20.123703679625784), np.float64(19.714390168846556), np.float64(13.320357338309016)]",18.86358900463468,1.544538465485634,0.001414381407956274,0.0046471213113718724,,1809
all,all,15,0.0,corr,8,,5904.5903,"[np.float64(23.733742234271787), np.float64(17.655781296325063), np.float64(17.121381027550218), np.float64(22.539303839860935), np.float64(18.099253166677986), np.float64(20.691872541868445), np.float64(13.082448127664057), np.float64(22.393843133880342)]",17.96472215257792,1.5826508298036677,0.0011693230294275681,0.005549437982167146,,1809
all,all,15,0.0,corr,9,,5038.6523,"[np.float64(18.679044591627946), np.float64(20.957535601818947), np.float64(18.040634005201923), np.float64(25.800625637876998), np.float64(21.38982166791007), np.float64(12.855443949115719), np.float64(18.713324819661047), np.float64(18.70731929121439), np.float64(20.059342759843833)]",17.647078004707744,1.4780959549248143,0.0012369949185260306,0.005370578076986471,,1809
all,all,15,0.01,cov,3,,6239.836,"[np.float64(17.04905270273706), np.float64(21.01086732606473), np.float64(20.446586853332715)]",17.88630659265847,1.8744267371350731,0.0021971707344415896,0.0022185247598874016,,1809
all,all,15,0.01,cov,4,,4797.484,"[np.float64(16.34491870420729), np.float64(20.774523159770915), np.float64(21.238257901459253), np.float64(18.224902390089206)]",19.549233132750558,1.8055625808294409,0.0025133191208854128,0.003033912635336982,,1809
all,all,15,0.01,cov,5,,4124.7417,"[np.float64(17.944537399928997), np.float64(21.694168315335627), np.float64(17.57026897350347), np.float64(16.36489843843523), np.float64(20.3983792656529)]",18.586023467180272,1.7362536617224447,0.0023328918189184527,0.003935026965858489,,1809
all,all,15,0.01,cov,6,,3560.7139,"[np.float64(17.81961821590383), np.float64(20.106146856979368), np.float64(19.592042519094537), np.float64(14.857396647532465), np.float64(21.37791673197642), np.float64(17.350565504454234)]",18.499363878698638,1.6724130209845665,0.002122738830633863,0.0025396118319143154,,1809
all,all,15,0.01,cov,7,,3305.7988,"[np.float64(17.88396788801533), np.float64(17.329758523030183), np.float64(18.614331992819206), np.float64(19.908202448417335), np.float64(17.55081745459765), np.float64(14.687708424740839), np.float64(21.759520592921902)]",17.717656902933165,1.6494272284941405,0.00133507762092838,0.005009987350463308,,1809
all,all,15,0.01,cov,8,,2748.2014,"[np.float64(17.300251050635403), np.float64(19.2021170000833), np.float64(18.29970896903388), np.float64(19.45129155532763), np.float64(21.84302253737943), np.float64(14.793988411980953), np.float64(17.218749421567324), np.float64(17.5342228309931)]",17.804964686132816,1.6225556820698315,0.0013176151525710802,0.0042391565517333595,,1809
all,all,15,0.01,cov,9,,2703.7898,"[np.float64(14.284324224198812), np.float64(17.576824960482412), np.float64(17.54973489600597), np.float64(19.193015976369384), np.float64(18.212808116522776), np.float64(17.835923957877696), np.float64(21.675810885799514), np.float64(16.724185832060602), np.float64(18.644159426927033)]",17.693422255085515,1.5749509146173164,0.001210873100107387,0.005928783243126915,,1809
all,all,15,0.01,rbf,3,,23739.572,"[np.float64(3.8108364716519962), np.float64(7.518516197405807), np.float64(5.006328526210674)]",7.988017280098276,1.438340060161927,0.0022984682001417124,0.0013412932520795945,,1809
all,all,15,0.01,rbf,4,,17702.213,"[np.float64(3.527460454047859), np.float64(4.914879021821359), np.float64(5.320570014576062), np.float64(6.994426971070268)]",7.652513100342095,1.3313824998212227,0.0014372697304698735,0.0014504574412257272,,1809
all,all,15,0.01,rbf,5,,13814.782,"[np.float64(6.083761747245147), np.float64(6.055635293478318), np.float64(3.268769223122384), np.float64(4.802239967770531), np.float64(5.3350330525068195)]",7.476738216439813,1.2926927717402208,0.002575678991278269,0.002112562674934653,,1809
all,all,15,0.01,rbf,6,,13350.592,"[np.float64(4.6328169142255575), np.float64(3.08298522202714), np.float64(5.363855507539527), np.float64(5.073694607921792), np.float64(7.689070480047644), np.float64(4.5147536122858325)]",7.427593428312456,1.219782053325146,0.0011201410154240328,0.0015028565022843976,,1809
all,all,15,0.01,rbf,7,,11786.887,"[np.float64(2.996114542361623), np.float64(5.215774942048677), np.float64(7.516686323064097), np.float64(4.587430452304469), np.float64(4.496831929365723), np.float64(3.748573667630735), np.float64(5.746990477107601)]",7.155066711301493,1.204886760811702,0.0012076189308635828,0.0022120751746928903,,1809
all,all,15,0.01,rbf,8,,11002.106,"[np.float64(4.18746587704934), np.float64(8.34563331367067), np.float64(4.194503795813178), np.float64(4.735601931143921), np.float64(4.406586739555843), np.float64(5.0433831058090925), np.float64(2.8188839298321122), np.float64(5.491119215523872)]",7.026076968074857,1.1675373379385567,0.0016391037453022095,0.0023646842245643334,,1809
all,all,15,0.01,rbf,9,,9875.349,"[np.float64(3.8155676843507824), np.float64(4.338990944437085), np.float64(4.983502595735824), np.float64(2.6469853386275397), np.float64(4.571030504087724), np.float64(4.1439566958024265), np.float64(4.891428712039191), np.float64(8.373774848659483), np.float64(4.783153263091143)]",7.220706771407931,1.1650953517830067,0.0008755672026715878,0.0020289149076128,,1809
all,all,15,0.01,lwf,3,,6482.134,"[np.float64(12.533461579457775), np.float64(15.147093600154427), np.float64(11.450741676889383)]",14.656829688182327,1.678420580570443,0.002120673107185048,0.0029673416111854157,,1809
all,all,15,0.01,lwf,4,,5804.206,"[np.float64(14.451504612085705), np.float64(10.63194451570934), np.float64(12.066764466625452), np.float64(13.604315783058574)]",13.61481664686625,1.5705971029404333,0.0033226207174369606,0.0021678180399328333,,1809
all,all,15,0.01,lwf,5,,4833.275,"[np.float64(13.732708562395237), np.float64(14.178192787554016), np.float64(12.631022977248707), np.float64(11.654104485309032), np.float64(10.237059491210202)]",14.314649901844287,1.5687258937589927,0.0016521784693517602,0.0027232553433233597,,1809
